,Labels,TimeStamps
1060,['Onset Stim3'],1706284927.5916011
1061,['Response: left_1'],1706284928.2629693
1062,['Offset Stim3'],1706284928.2630017
1063,['Onset Stim3'],1706284928.8251047
1064,['Response: right_1'],1706284929.4752436
1065,['Offset Stim3'],1706284929.4752746
1066,['Onset Stim3'],1706284930.024952
1067,['Response: left_1'],1706284930.5628057
1068,['Offset Stim3'],1706284930.5628397
1069,['Onset Stim3'],1706284931.1249807
1070,['Response: right_1'],1706284931.658452
1071,['Offset Stim3'],1706284931.6584833
1072,['Onset Stim3'],1706284932.208314
1073,['Response: left_1'],1706284932.746232
1074,['Offset Stim3'],1706284932.7462628
1075,['Onset Stim3'],1706284933.3083203
1076,['Response: right_1'],1706284933.7752705
1077,['Offset Stim3'],1706284933.775296
1078,['Onset Stim3'],1706284934.3249931
1079,['Response: right_1'],1706284934.8463328
1080,['Offset Stim3'],1706284934.8463635
1081,['Onset Stim3'],1706284935.408354
1082,['Response: left_1'],1706284936.008471
1083,['Offset Stim3'],1706284936.0085087
1084,['Onset Stim3'],1706284936.5585175
1085,['Response: right_1'],1706284937.2299201
1086,['Offset Stim3'],1706284937.2299454
1087,['Onset Stim3'],1706284937.7918363
1088,['Response: left_1'],1706284938.608605
1089,['Offset Stim3'],1706284938.6086314
1090,['Onset Stim3'],1706284939.1584878
1091,['Response: right_1'],1706284939.9253283
1092,['Offset Stim3'],1706284939.9253542
1093,['Onset Stim3'],1706284940.4752038
1094,['Response: left_1'],1706284941.3419542
1095,['Offset Stim3'],1706284941.3419943
1096,['Onset Stim3'],1706284941.8964393
1097,['Response: right_1'],1706284942.6086519
1098,['Offset Stim3'],1706284942.6086774
1099,['Onset Stim3'],1706284943.175003
1100,['Response: left_1'],1706284943.7295463
1101,['Offset Stim3'],1706284943.7295737
1102,['Onset Stim3'],1706284944.2918603
1103,['Response: right_1'],1706284944.975365
1104,['Offset Stim3'],1706284944.975394
1105,['Onset Stim3'],1706284945.525209
1106,['Response: left_1'],1706284946.229511
1107,['Offset Stim3'],1706284946.2295396
1108,['Onset Stim3'],1706284946.7916586
1109,['Response: left_1'],1706284947.525169
1110,['Offset Stim3'],1706284947.5252001
1111,['Onset Stim3'],1706284948.0917182
1112,['Response: left_1'],1706284948.641883
1113,['Offset Stim3'],1706284948.6419086
1114,['Onset Stim3'],1706284949.1919572
1115,['Response: left_1'],1706284950.0419824
1116,['Offset Stim3'],1706284950.0420072
1117,['Onset Stim3'],1706284950.5964115
1118,['Response: left_1'],1706284951.2753835
1119,['Offset Stim3'],1706284951.2754145
1120,['Onset Stim3'],1706284951.825248
1121,['Response: right_1'],1706284952.5253778
1122,['Offset Stim3'],1706284952.5254083
1123,['Onset Stim3'],1706284953.0752354
1124,['Response: right_1'],1706284953.8420653
1125,['Offset Stim3'],1706284953.8420956
1126,['Onset Stim3'],1706284954.3919203
1127,['Response: left_1'],1706284956.2086747
1128,['Offset Stim3'],1706284956.2087061
1129,['Onset Stim3'],1706284956.7750711
1130,['Response: left_1'],1706284957.5253384
1131,['Offset Stim3'],1706284957.5253673
1132,['Onset Stim3'],1706284958.075104
1133,['Response: right_1'],1706284958.7586975
1134,['Offset Stim3'],1706284958.7587278
1135,['Onset Stim3'],1706284959.3127644
1136,['Response: right_1'],1706284959.9085944
1137,['Offset Stim3'],1706284959.908625
1138,['Onset Stim3'],1706284960.4585369
1139,['Response: right_1'],1706284960.991925
1140,['Offset Stim3'],1706284960.9919562
1141,['Onset Stim3'],1706284961.5462768
1142,['Response: left_1'],1706284962.325152
1143,['Offset Stim3'],1706284962.3251812
1144,['Onset Stim3'],1706284962.875277
1145,['Response: left_1'],1706284963.9296439
1146,['Offset Stim3'],1706284963.9296706
1147,['Onset Stim3'],1706284964.491814
1148,['Response: right_1'],1706284965.1419601
1149,['Offset Stim3'],1706284965.1419861
1150,['Onset Stim3'],1706284965.6918032
1151,['Response: left_1'],1706284966.3419662
1152,['Offset Stim3'],1706284966.3420038
1153,['Onset Stim3'],1706284966.9086404
1154,['Response: right_1'],1706284967.5919487
1155,['Offset Stim3'],1706284967.5919745
1156,['Onset Stim3'],1706284968.146128
1157,['Response: left_1'],1706284968.8921337
1158,['Offset Stim3'],1706284968.892165
1159,['Onset Stim3'],1706284969.4419525
1160,['Response: right_1'],1706284970.008673
1161,['Offset Stim3'],1706284970.0086997
1162,['Onset Stim3'],1706284970.5630739
1163,['Response: left_1'],1706284971.0919645
1164,['Offset Stim3'],1706284971.091996
1165,['Onset Stim3'],1706284971.6585524
1166,['Response: left_1'],1706284972.3087857
1167,['Offset Stim3'],1706284972.3088112
1168,['Onset Stim3'],1706284972.8630419
1169,['Response: left_1'],1706284973.608943
1170,['Offset Stim3'],1706284973.6089768
