sectionname,starttime,endtime,duration,responsetime,delta,condition,response,accuracy
Stim2_43,336.8642361164093,337.5142810344696,0.6500449180603027,337.5142810344696,0.6500449180603027,right-con,right,1
Stim2_44,337.55215716362,338.06431698799133,0.5121598243713379,,,,,
Stim2_45,338.09773993492126,338.7809510231018,0.683211088180542,338.7809510231018,0.683211088180542,right-con,right,1
Stim2_46,338.81462502479553,339.33111596107483,0.5164909362792969,,,,,
Stim2_47,339.3644549846649,340.08562994003296,0.721174955368042,340.08562994003296,0.721174955368042,right-inc,right,1
Stim2_48,340.1190490722656,340.631019115448,0.511970043182373,,,,,
Stim2_49,340.66439509391785,341.48101902008057,0.8166239261627197,341.48101902008057,0.8166239261627197,left-con,left,1
Stim2_50,341.5143539905548,342.0188009738922,0.5044469833374023,,,,,
Stim2_51,342.0519139766693,342.74786615371704,0.6959521770477295,342.74786615371704,0.6959521770477295,right-inc,right,1
Stim2_52,342.78119707107544,343.2977409362793,0.5165438652038574,,,,,
Stim2_53,343.33117413520813,344.08121514320374,0.7500410079956055,344.08121514320374,0.7500410079956055,right-inc,right,1
Stim2_54,344.11442613601685,344.63109016418457,0.5166640281677246,,,,,
Stim2_55,344.66437911987305,345.3310511112213,0.6666719913482666,345.3310511112213,0.6666719913482666,right-neut,right,1
Stim2_56,345.3642621040344,345.8644320964813,0.5001699924468994,,,,,
Stim2_57,345.8977210521698,346.5023350715637,0.6046140193939209,346.5023350715637,0.6046140193939209,left-con,left,1
Stim2_58,346.53561305999756,347.04776215553284,0.5121490955352783,,,,,
Stim2_59,347.0810430049896,347.61442613601685,0.5333831310272217,347.61442613601685,0.5333831310272217,right-con,right,1
Stim2_60,347.64789295196533,348.1644380092621,0.5165450572967529,,,,,
Stim2_61,348.1978991031647,348.90256214141846,0.7046630382537842,348.90256214141846,0.7046630382537842,right-inc,right,1
Stim2_62,348.935604095459,349.4478061199188,0.5122020244598389,,,,,
Stim2_63,349.48123598098755,350.38129711151123,0.9000611305236816,350.38129711151123,0.9000611305236816,left-inc,left,1
Stim2_64,350.4146320819855,350.91882395744324,0.5041918754577637,,,,,
Stim2_65,350.9522421360016,351.59779596328735,0.6455538272857666,351.59779596328735,0.6455538272857666,right-con,right,1
Stim2_66,351.6311390399933,352.1312940120697,0.500154972076416,,,,,
Stim2_67,352.1644811630249,352.847825050354,0.6833438873291016,352.847825050354,0.6833438873291016,right-con,right,1
Stim2_68,352.88117814064026,353.3856370449066,0.5044589042663574,,,,,
Stim2_69,353.41883993148804,354.1811680793762,0.7623281478881836,354.1811680793762,0.7623281478881836,left-neut,left,1
Stim2_70,354.21451115608215,354.71468114852905,0.5001699924468994,,,,,
Stim2_71,354.74780797958374,355.4522111415863,0.7044031620025635,355.4522111415863,0.7044031620025635,left-neut,left,1
Stim2_72,355.48586416244507,355.9979109764099,0.5120468139648438,,,,,
Stim2_73,356.0311551094055,356.68119502067566,0.6500399112701416,356.68119502067566,0.6500399112701416,left-con,left,1
Stim2_74,356.7147660255432,357.23125195503235,0.5164859294891357,,,,,
Stim2_75,357.26453495025635,357.9480690956116,0.6835341453552246,357.9480690956116,0.6835341453552246,right-con,right,1
Stim2_76,357.98125314712524,358.4812741279602,0.5000209808349609,,,,,
Stim2_77,358.514524936676,359.18120098114014,0.6666760444641113,359.18120098114014,0.6666760444641113,right-neut,right,1
